id,rating,reput,worth,wage,ht_cm,preferred_foot,work_rate,pace,shooting,finishing,dribbling
258361,66,1,1086,11.359,193,Left,Medium,82,29,24,40
229894,68,1,1107,11.903,173,Right,Medium,77,57,53,68
178614,72,1,1078,10.245,183,Right,Low,63,44,43,55
234296,65,1,1114,10.815,171,Left,Medium,78,53,57,71
245033,57,1,1030,10.272,181,Left,Medium,69,44,43,59
220895,69,1,1114,18.97,171,Right,High,73,60,61,74
169708,68,1,1058,11.359,182,Right,Low,49,51,49,61
226754,80,2,3164,32.017,69 in,Left,Medium,73,67,63,84
235897,55,1,1011,11.359,65 in,Right,Medium,70,43,44,60
189278,64,1,1033,11.359,74 in,Right,Medium,50,60,57,64
243506,55,1,1016,10.272,183,Right,Medium,67,30,29,47
214882,70,1,1093,12.99,72 in,Right,Medium,54,32,23,31
242324,68,1,1093,15.708,182,Right,High,72,63,67,68
193141,70,1,1035,13.534,70 in,Right,High,65,50,35,62
183720,62,1,1019,10.815,67 in,Right,Medium,56,58,58,61
231685,73,1,1309,18.426,70 in,Right,Medium,76,48,41,69
226539,73,1,1230,14.077,71 in,Left,Medium,76,59,58,79
216072,73,1,1158,17.339,173,Right,High,88,56,45,67
240859,67,1,1172,12.99,187,Right,Low,61,35,24,39
228941,84,3,4680,69.528,185,Right,Medium,74,84,87,84
230817,69,1,1150,10.815,184,Right,High,64,56,50,72
251918,61,1,1030,10,183,Right,Low,54,27,28,30
243730,56,1,1021,10.815,70 in,Right,Medium,74,49,47,58
241278,71,1,1302,24.406,172,Left,Medium,75,69,67,76
183807,62,1,1017,11.359,178,Right,High,62,62,64,56
247320,65,1,1107,10.272,179,Right,Medium,78,58,60,66
222278,70,1,1100,14.077,177,Right,Medium,77,29,21,65
243252,65,1,1107,10.272,188,Right,Medium,68,41,37,56
259907,61,1,1030,10,186,Right,High,58,30,29,32
225878,74,1,1331,14.077,70 in,Right,High,79,70,68,75
208540,62,1,1022,10.815,76 in,Right,High,62,61,63,58
262342,56,1,1021,10.109,180,Right,Low,50,27,25,37
254910,70,1,1165,12.446,170,Right,High,73,66,66,72
192608,71,1,1107,13.534,176,Left,Medium,69,62,59,70
260189,66,1,1064,10.815,165,Right,High,74,63,62,65
242238,70,1,1237,15.165,76 in,Right,Medium,86,39,35,62
219932,74,1,1468,29.299,71 in,Right,High,73,72,75,73
239890,76,2,2118,14.621,186,Right,Medium,69,36,35,67
220429,69,1,1078,11.903,193,Left,Medium,41,46,29,65
234831,62,1,1033,10.815,72 in,Left,Medium,71,42,33,60
258662,52,1,1013,10.109,185,Left,Medium,65,42,40,52
229286,69,1,1136,13.534,71 in,Right,High,85,66,65,71
243249,70,1,1259,18.426,188,Right,Medium,63,67,69,69
197948,77,2,1612,22.232,74 in,Right,Medium,45,57,50,62
164470,69,1,1019,11.359,73 in,Right,Medium,35,70,68,64
258034,64,1,1093,11.903,178,Left,High,76,46,42,68
255559,56,1,1022,10.272,72 in,Right,Medium,66,55,57,61
252471,62,1,1058,10.815,67 in,Right,High,68,45,40,58
229319,71,1,1179,14.621,75 in,Right,High,62,69,72,73
179516,72,1,1107,20.057,180,Left,High,58,78,79,64
193352,76,2,1504,30.386,72 in,Left,Medium,71,67,58,74
230178,69,1,1086,13.534,178,Left,Medium,70,46,44,45
258905,60,1,1040,10,184,Right,Medium,60,31,25,60
233656,57,1,1013,10.272,178,Right,Medium,66,38,33,57
248272,48,1,1007,10,68 in,Right,Medium,73,47,49,46
236331,73,1,1288,20.601,186,Right,Low,54,41,42,46
