id,current_rating,potential_rating,height,weight,preferred_foot,skill_moves,value,wage,ball_control,strength,long_shots_level
224812,66,67,175,70,Right,3,800,4,71,60,Good
244213,70,70,175,68,Right,4,1.400.000,10.5,70,60,Good
251912,62,74,195,79,Right,2,800,2.4,64,71,Good
203798,68,68,174,71,Right,3,725,5.6,59,81,Good
193361,77,77,182,76,Right,4,9.500.000,31,79,67,Excellent
233284,60,63,190,77,Right,2,250,1.3,61,73,Good
228562,61,66,196,84,Right,1,350,1.3,20,79,Fair
220152,72,72,177,76,Right,3,2.200.000,8.2,74,57,Good
182120,53,53,175,78,Right,2,60,1.8,63,69,Fair
239689,58,67,192,79,Right,1,325,1.3,10,38,Fair
212023,75,75,188,82,Right,3,4.900.000,8.7,72,77,Good
239373,66,73,183,84,Right,3,1.500.000,2.6,70,75,Good
20801,92,92,187,83,Right,5,56.500.000,195,92,78,Excellent
206430,64,66,188,77,Right,3,650,2.2,65,78,Good
231743,68,77,191,75,Left,3,2.400.000,17,70,80,Good
229723,72,78,180,68,Right,3,3.300.000,23.5,70,58,Good
235700,62,64,168,72,Right,3,450,2.3,58,46,Good
248230,66,75,177,70,Left,2,1.600.000,5.3,64,48,Good
240600,60,69,185,74,Right,2,500,4.4,64,77,Good
213798,70,75,177,71,Left,3,2.100.000,7.1,71,66,Excellent
163135,60,60,186,83,Right,1,35,2.2,22,61,Fair
251441,66,72,181,72,Right,2,1.100.000,3.5,61,61,Good
223791,70,75,165,60,Left,3,2.100.000,11.5,70,50,Good
224054,62,62,170,66,Right,3,300,2.2,65,47,Good
242282,59,71,181,70,Right,2,475,7.4,55,55,Fair
213327,66,66,196,83,Right,2,625,1.3,41,84,Fair
222883,69,70,175,72,Right,3,1.400.000,9.9,69,65,Good
257983,59,71,171,68,Right,3,500,1.3,59,40,Good
230447,66,66,178,77,Right,2,675,3.6,45,70,Good
237382,62,74,186,74,Right,2,875,5.4,65,51,Good
251154,65,72,187,84,Right,2,1.300.000,2.5,57,83,Good
